shapeName,shapeISO,shapeID,shapeGroup,shapeType,area_km2,centroid_lat,centroid_lon
Cross River,NG-CR,27671186B81745654473385,NGA,ADM1,22590,5.873181831741326,8.602044460004322
Abuja Federal Capital Territory,NG-FC,27671186B76269877687363,NGA,ADM1,7315,8.89414946228015,7.186128741028797
Ogun,NG-OG,27671186B83907961412659,NGA,ADM1,16762,6.996367441130191,3.4687766336419266
Oyo,NG-OY,27671186B56513237316251,NGA,ADM1,28454,8.158301191390688,3.6135706372353407
Sokoto,NG-SO,27671186B99510750195830,NGA,ADM1,25973,13.05663060506754,5.318187122189568
Zamfara,NG-ZA,27671186B21163522287660,NGA,ADM1,39762,12.120890473842014,6.222648545026945
Lagos,NG-LA,27671186B19119389308001,NGA,ADM1,3577,6.522225114605733,3.601520932334431
Akwa Ibom,NG-AK,27671186B25346211366833,NGA,ADM1,7081,4.9062218908557105,7.855278314677962
Bayelsa,NG-BY,27671186B47021609715037,NGA,ADM1,10773,4.772503537975958,6.069431887459179
Ondo,NG-ON,27671186B41407594687181,NGA,ADM1,17500,6.91403684711812,5.147922077069141
Delta,NG-DE,27671186B69086015704361,NGA,ADM1,17698,5.705553697874203,5.937130369951072
Rivers,NG-RI,27671186B95832466049157,NGA,ADM1,11077,4.841645393465952,6.9106284899383965
Kwara,NG-KW,27671186B2031248555853,NGA,ADM1,36825,8.962026422376942,4.392139796750477
Kogi,NG-KO,27671186B96047513549152,NGA,ADM1,29833,7.73596573166049,6.686057145260739
Benue,NG-BE,27671186B36221103315467,NGA,ADM1,34059,7.336031883784675,8.737946055790225
Borno,NG-BO,27671186B753479316714,NGA,ADM1,70898,11.893554189505476,13.160528695459144
Katsina,NG-KT,27671186B99661334382691,NGA,ADM1,24192,12.387911711247776,7.637595702715284
Plateau,NG-PL,27671186B51792679167430,NGA,ADM1,30913,9.218333950824055,9.517531585017446
Edo,NG-ED,27671186B63712480376187,NGA,ADM1,19559,6.634338989136198,5.930696250638502
Jigawa,NG-JI,27671186B1226853346294,NGA,ADM1,23154,12.228981887543137,9.561080312358822
Anambra,NG-AN,27671186B76680224160916,NGA,ADM1,4844,6.214631838607606,6.932022612346574
Kano,NG-KN,27671186B50148357657004,NGA,ADM1,20131,11.74750697495745,8.524455713037165
Nasarawa,NG-NA,27671186B74554005070963,NGA,ADM1,27117,8.499663794195344,8.199714730437519
Kebbi,NG-KE,27671186B53868438251790,NGA,ADM1,36800,11.718212444483862,4.51126458819512
Imo,NG-IM,27671186B8148656125930,NGA,ADM1,5530,5.570870852468457,7.060929614091435
Gombe,NG-GO,27671186B90305463766462,NGA,ADM1,18768,10.364553518708433,11.193595314868938
Adamawa,NG-AD,27671186B49737451005073,NGA,ADM1,36917,9.313661378717587,12.406242791719821
Yobe,NG-YO,27671186B69054806776702,NGA,ADM1,45502,12.300752751397546,11.429778722712028
Abia,NG-AB,27671186B83117616801018,NGA,ADM1,6320,5.452862833380838,7.524908310450852
Ekiti,NG-EK,27671186B91150779192485,NGA,ADM1,6353,7.719015615230132,5.310958117537846
Osun,NG-OS,27671186B37873222803025,NGA,ADM1,9251,7.562664291110807,4.519102085452803
Bauchi,NG-BA,27671186B7584771598694,NGA,ADM1,45893,10.777475050728079,9.999893741614772
Niger,NG-NI,27671186B79778155682183,NGA,ADM1,76363,9.930041134093296,5.599954764169838
Kaduna,NG-KD,27671186B54051914323789,NGA,ADM1,46053,10.376957543160875,7.708649588823136
Enugu,NG-EN,27671186B90910891533368,NGA,ADM1,7161,6.53689573436515,7.435674562245702
Taraba,NG-TA,27671186B83252759475924,NGA,ADM1,54473,7.990986081660741,10.774848928798468
Ebonyi,NG-EB,27671186B90886723034258,NGA,ADM1,5670,6.264988024324962,8.01376755374614
